Driver,LapTime,Compound,TyreLife,Position,lap_time_mean_3,lap_time_delta,tyre_ratio
VER,78.001,1.0,29.0,1.0,77.67666666666668,0.23100000000000875,0.5272727272727272
VER,78.16,1.0,30.0,1.0,77.97699999999999,0.15899999999999181,0.5454545454545454
VER,78.741,1.0,31.0,1.0,78.30066666666667,0.5810000000000031,0.5636363636363636
VER,78.816,1.0,32.0,1.0,78.57233333333333,0.07500000000000284,0.5818181818181818
VER,78.946,1.0,33.0,1.0,78.83433333333333,0.12999999999999545,0.6
VER,78.044,1.0,34.0,1.0,78.60199999999999,-0.902000000000001,0.6181818181818182
VER,78.024,1.0,35.0,1.0,78.33800000000001,-0.01999999999999602,0.6363636363636364
VER,77.974,1.0,36.0,1.0,78.014,-0.04999999999999716,0.6545454545454545
VER,77.273,1.0,37.0,1.0,77.75699999999999,-0.7010000000000076,0.6727272727272727
VER,77.122,1.0,38.0,1.0,77.45633333333335,-0.15099999999999625,0.6909090909090909
VER,76.966,1.0,39.0,1.0,77.12033333333333,-0.1560000000000059,0.7090909090909091
VER,77.161,1.0,40.0,1.0,77.083,0.1950000000000074,0.7272727272727273
VER,76.944,1.0,41.0,1.0,77.02366666666667,-0.21699999999999875,0.7454545454545455
VER,76.8,1.0,42.0,1.0,76.96833333333333,-0.14400000000000546,0.7636363636363637
VER,76.963,1.0,43.0,1.0,76.90233333333333,0.1629999999999967,0.7818181818181819
VER,76.722,1.0,44.0,1.0,76.82833333333332,-0.24099999999999966,0.8
VER,76.701,1.0,45.0,1.0,76.79533333333332,-0.021000000000000796,0.8181818181818182
VER,77.075,1.0,46.0,1.0,76.83266666666667,0.37400000000000944,0.8363636363636363
VER,77.16,1.0,47.0,1.0,76.97866666666667,0.08499999999999375,0.8545454545454545
VER,77.065,1.0,48.0,1.0,77.10000000000001,-0.09499999999999886,0.8727272727272727
VER,77.428,1.0,49.0,1.0,77.21766666666666,0.36299999999999955,0.8909090909090909
VER,77.314,1.0,50.0,1.0,77.26899999999999,-0.11400000000000432,0.9090909090909091
VER,77.427,1.0,51.0,1.0,77.38966666666666,0.11300000000001376,0.9272727272727272
VER,84.046,1.0,52.0,1.0,79.59566666666667,6.619,0.9454545454545454
VER,89.919,1.0,53.0,1.0,83.79733333333333,5.8729999999999905,0.9636363636363636
VER,98.946,1.0,54.0,1.0,90.97033333333333,9.027000000000001,0.9818181818181818
VER,130.567,1.0,55.0,1.0,106.47733333333333,31.62100000000001,1.0
VER,106.131,0.0,1.0,1.0,111.88133333333333,-24.436000000000007,0.01818181818181818
VER,103.464,0.0,2.0,1.0,113.38733333333334,-2.6670000000000016,0.03636363636363636
VER,102.808,0.0,3.0,1.0,104.13433333333334,-0.6559999999999917,0.05454545454545454
VER,103.791,0.0,4.0,1.0,103.35433333333333,0.9829999999999899,0.07272727272727272
VER,101.54,0.0,5.0,1.0,102.71300000000001,-2.2509999999999906,0.09090909090909091
VER,100.797,0.0,6.0,1.0,102.04266666666668,-0.7430000000000092,0.10909090909090909
VER,99.272,0.0,7.0,1.0,100.53633333333335,-1.5249999999999915,0.12727272727272726
VER,99.61,0.0,8.0,1.0,99.89299999999999,0.33799999999999386,0.14545454545454545
VER,98.364,0.0,9.0,1.0,99.082,-1.2459999999999951,0.16363636363636364
VER,97.16,0.0,10.0,1.0,98.378,-1.2040000000000077,0.18181818181818182
VER,94.035,0.0,11.0,1.0,96.51966666666665,-3.125,0.2
VER,92.921,0.0,12.0,1.0,94.70533333333333,-1.11399999999999,0.21818181818181817
VER,93.659,0.0,13.0,1.0,93.53833333333334,0.7379999999999995,0.23636363636363636
VER,91.607,0.0,14.0,1.0,92.729,-2.0520000000000067,0.2545454545454545
VER,91.244,0.0,15.0,1.0,92.17,-0.36299999999999955,0.2727272727272727
VER,90.363,0.0,16.0,1.0,91.07133333333333,-0.8810000000000002,0.2909090909090909
VER,90.402,0.0,17.0,1.0,90.66966666666667,0.03900000000000148,0.3090909090909091
VER,88.386,0.0,18.0,1.0,89.717,-2.0160000000000053,0.32727272727272727
VER,86.864,0.0,19.0,1.0,88.55066666666666,-1.5219999999999914,0.34545454545454546
VER,85.518,0.0,20.0,1.0,86.92266666666667,-1.3460000000000036,0.36363636363636365
VER,85.316,0.0,21.0,1.0,85.89933333333333,-0.20199999999999818,0.38181818181818183
VER,85.46,0.0,22.0,1.0,85.43133333333333,0.14399999999999125,0.4
VER,85.201,0.0,23.0,1.0,85.32566666666666,-0.25900000000000034,0.41818181818181815
GAS,89.701,2.0,1.0,7.0,0.0,0.0,0.02127659574468085
GAS,80.636,2.0,2.0,7.0,0.0,-9.064999999999998,0.0425531914893617
GAS,80.282,2.0,3.0,7.0,83.53966666666666,-0.3539999999999992,0.06382978723404255
GAS,79.577,2.0,4.0,7.0,80.165,-0.7049999999999983,0.0851063829787234
GAS,78.893,2.0,5.0,7.0,79.584,-0.6839999999999975,0.10638297872340426
GAS,78.842,2.0,6.0,7.0,79.104,-0.05100000000000193,0.1276595744680851
GAS,78.604,2.0,7.0,7.0,78.77966666666667,-0.23799999999999955,0.14893617021276595
GAS,79.317,2.0,8.0,7.0,78.92099999999999,0.7129999999999939,0.1702127659574468
GAS,78.788,2.0,9.0,7.0,78.903,-0.5289999999999964,0.19148936170212766
GAS,78.31,2.0,10.0,7.0,78.805,-0.47799999999999443,0.2127659574468085
GAS,78.367,2.0,11.0,7.0,78.48833333333333,0.05700000000000216,0.23404255319148937
GAS,78.582,2.0,12.0,7.0,78.41966666666667,0.2149999999999892,0.2553191489361702
GAS,77.713,2.0,13.0,7.0,78.22066666666667,-0.8689999999999998,0.2765957446808511
GAS,78.564,2.0,14.0,7.0,78.28633333333333,0.8509999999999991,0.2978723404255319
GAS,78.284,2.0,15.0,7.0,78.187,-0.2799999999999869,0.3191489361702128
GAS,78.298,2.0,16.0,7.0,78.382,0.013999999999995794,0.3404255319148936
GAS,77.99,2.0,17.0,7.0,78.19066666666667,-0.30800000000000693,0.3617021276595745
GAS,78.453,2.0,18.0,7.0,78.247,0.46300000000000807,0.3829787234042553
